行标签,计数项:issue_ID
3862,57
11355,54
2770,54
2476,54
2726,53
5668,52
4069,50
1242,50
4147,49
1401,47
10247,44
8455,44
12515,43
6528,43
5783,41
5797,41
711,40
3003,38
3228,37
9620,36
6772,35
10269,34
6613,34
2998,34
2371,34
9889,33
8738,33
4550,33
2305,33
7235,32
3997,32
1964,32
776,32
10926,31
3219,31
7275,30
6963,30
3292,30
11171,29
6184,29
6211,29
1028,28
729,28
7512,27
7674,27
6540,27
3816,27
1522,27
11833,26
7664,26
7086,26
6876,26
14363,25
11632,25
8079,25
7017,25
4703,25
3195,25
14041,24
11500,24
9857,24
7902,24
10218,23
8105,23
7277,23
6175,23
4945,23
3203,23
2293,23
1071,23
12100,22
11124,22
9051,22
7965,22
7366,22
4992,22
4090,22
3725,22
2178,22
11033,21
7233,21
4079,21
3388,21
2547,21
1227,21
68,21
11606,20
8861,20
8518,20
7515,20
8120,20
6775,20
5728,20
4124,20
2664,20
809,20
3,20
11627,19
11645,19
10647,19
8868,19
9449,19
9639,19
9648,19
7714,19
7470,19
7018,19
5851,19
6554,19
5908,19
5160,19
5064,19
3250,19
3249,19
2463,19
2499,19
1074,19
271,19
13285,18
10616,18
9600,18
8260,18
8511,18
8263,18
8732,18
8706,18
7657,18
6078,18
6432,18
5588,18
4171,18
3803,18
3945,18
2072,18
1746,18
2261,18
596,18
12978,17
10664,17
11054,17
9810,17
8500,17
9491,17
7890,17
6461,17
6200,17
4677,17
4854,17
3989,17
2889,17
2555,17
2405,17
1452,17
830,17
659,17
644,17
13405,16
14394,16
11502,16
11549,16
8395,16
8300,16
9317,16
8577,16
8900,16
7486,16
7834,16
8081,16
7176,16
6095,16
6267,16
6552,16
6758,16
3529,16
2627,16
2043,16
1012,16
1714,16
156,16
12511,15
14280,15
13973,15
11037,15
9038,15
8967,15
9374,15
8978,15
7394,15
7077,15
7261,15
7191,15
6558,15
6253,15
6188,15
6472,15
5016,15
4545,15
4993,15
3848,15
3575,15
3918,15
3550,15
4091,15
3624,15
4093,15
3664,15
3136,15
2643,15
2800,15
3274,15
2435,15
2035,15
2079,15
2369,15
1154,15
1110,15
13934,14
12090,14
12397,14
10897,14
9862,14
11134,14
8411,14
9105,14
9678,14
7054,14
7249,14
7690,14
7343,14
6531,14
6833,14
6192,14
6784,14
5265,14
5610,14
4583,14
4417,14
4362,14
2653,14
3224,14
2707,14
2927,14
3132,14
3182,14
2402,14
1884,14
2021,14
2203,14
881,14
1053,14
12952,13
13585,13
13754,13
12129,13
11449,13
11454,13
11685,13
10909,13
9948,13
9836,13
9430,13
7466,13
7227,13
7844,13
7591,13
6941,13
6578,13
6699,13
5767,13
4948,13
5657,13
4858,13
5037,13
3499,13
4353,13
3882,13
3002,13
2521,13
2394,13
2445,13
1951,13
2290,13
981,13
923,13
794,13
955,13
819,13
977,13
1064,13
48,13
749,13
12864,12
13263,12
11506,12
11716,12
12440,12
11348,12
11822,12
10687,12
9950,12
10474,12
11243,12
9969,12
8532,12
8383,12
8237,12
8749,12
8782,12
8404,12
8842,12
7535,12
7678,12
7161,12
7382,12
8017,12
7471,12
7265,12
6170,12
7036,12
6090,12
7043,12
4572,12
5250,12
5147,12
3781,12
3757,12
3721,12
3810,12
3686,12
3968,12
2954,12
3494,12
2853,12
3410,12
2276,12
2318,12
2395,12
2214,12
945,12
820,12
1236,12
978,12
919,12
1120,12
660,12
753,12
640,12
258,12
12624,11
13576,11
12320,11
11581,11
12386,11
11409,11
11955,11
10736,11
9746,11
9968,11
10620,11
9434,11
8279,11
8689,11
8758,11
8297,11
9629,11
7883,11
8196,11
7679,11
7554,11
7750,11
7248,11
8093,11
7163,11
7700,11
6725,11
6542,11
6525,11
6326,11
6606,11
6429,11
6460,11
6502,11
4628,11
4807,11
4574,11
4907,11
3794,11
4066,11
3288,11
2790,11
2712,11
3364,11
3282,11
3122,11
2785,11
3236,11
3471,11
2416,11
2389,11
2334,11
1927,11
1840,11
1759,11
2484,11
1775,11
1432,11
1327,11
956,11
1664,11
1063,11
1222,11
1509,11
1085,11
921,11
1164,11
664,11
207,11
147,11
12858,10
13700,10
12514,10
12961,10
13225,10
13302,10
11356,10
12279,10
11358,10
11767,10
11364,10
12498,10
12047,10
10005,10
10042,10
11217,10
8609,10
9078,10
9636,10
8117,10
7341,10
7110,10
7736,10
8202,10
7432,10
8124,10
7139,10
7494,10
7717,10
7172,10
6251,10
6840,10
5897,10
6386,10
7001,10
6113,10
7002,10
6454,10
6677,10
6119,10
6949,10
6011,10
5869,10
6018,10
5631,10
4924,10
5377,10
4997,10
5605,10
5572,10
5785,10
4596,10
5315,10
4343,10
3953,10
3778,10
3610,10
3623,10
2543,10
3485,10
3303,10
2806,10
3105,10
2675,10
2690,10
2392,10
1797,10
1999,10
1897,10
2330,10
2034,10
2233,10
1384,10
1082,10
1505,10
1044,10
1228,10
684,10
5,10
469,10
14068,9
12547,9
13694,9
13504,9
13256,9
11388,9
11352,9
12446,9
11668,9
11731,9
11832,9
12365,9
11848,9
12418,9
9812,9
10848,9
9759,9
9996,9
10856,9
10709,9
9825,9
10394,9
10349,9
10393,9
8614,9
9386,9
8806,9
8368,9
8425,9
9134,9
9170,9
7970,9
7860,9
8069,9
7677,9
7908,9
8211,9
7596,9
7375,9
7160,9
7580,9
7859,9
6486,9
6426,9
7012,9
6655,9
5982,9
6670,9
6869,9
6367,9
6602,9
6304,9
6749,9
6586,9
6518,9
6491,9
4552,9
4819,9
4866,9
5353,9
5156,9
5821,9
5742,9
5068,9
4840,9
5138,9
5625,9
4345,9
4341,9
4162,9
4356,9
3903,9
2990,9
2674,9
2711,9
3004,9
3190,9
2909,9
2550,9
2992,9
2197,9
2426,9
1961,9
2027,9
2077,9
2475,9
1626,9
1656,9
1625,9
1325,9
944,9
1669,9
1317,9
781,9
703,9
25,9
130,9
7,9
718,9
13362,8
13182,8
13006,8
13526,8
13957,8
13511,8
12591,8
13436,8
13635,8
13403,8
12362,8
12391,8
12176,8
12009,8
11763,8
11828,8
11302,8
11732,8
11382,8
10402,8
10666,8
11040,8
9883,8
9800,8
10603,8
10203,8
9885,8
11048,8
9814,8
11093,8
10944,8
9826,8
10951,8
11207,8
10001,8
10356,8
11257,8
8496,8
8741,8
9398,8
9047,8
9463,8
9119,8
8586,8
8913,8
8245,8
9601,8
9458,8
8684,8
9585,8
9231,8
9232,8
8060,8
7331,8
7085,8
7412,8
7516,8
7279,8
7626,8
7836,8
7634,8
7681,8
7407,8
5899,8
6624,8
6490,8
6391,8
6268,8
5828,8
6882,8
5741,8
5262,8
4658,8
4669,8
4475,8
5645,8
5359,8
5560,8
5260,8
5660,8
5378,8
4634,8
4478,8
5120,8
3948,8
4178,8
3754,8
3859,8
3905,8
3533,8
3612,8
4125,8
3840,8
3866,8
3722,8
3963,8
3363,8
2628,8
3496,8
2542,8
3298,8
2724,8
3406,8
2757,8
2691,8
2772,8
3171,8
2993,8
3307,8
3006,8
3371,8
3036,8
3440,8
2551,8
3113,8
2355,8
1839,8
1944,8
2218,8
1768,8
1865,8
1960,8
1841,8
2397,8
2480,8
2183,8
2485,8
2345,8
2271,8
1894,8
1946,8
1750,8
2303,8
877,8
835,8
1155,8
1024,8
1356,8
1107,8
1186,8
1506,8
1031,8
2,8
641,8
99,8
713,8
28,8
614,8
14,8
625,8
216,8
736,8
540,8
14064,7
12663,7
14216,7
12505,7
12535,7
13505,7
12520,7
13110,7
14273,7
12596,7
13502,7
12538,7
13290,7
14462,7
12375,7
11816,7
12314,7
12230,7
11725,7
11752,7
11444,7
12289,7
12195,7
11612,7
12209,7
12126,7
11540,7
11586,7
10978,7
9769,7
10801,7
10209,7
10399,7
9742,7
11004,7
10576,7
11036,7
10924,7
11064,7
10590,7
11158,7
9710,7
10617,7
8434,7
9356,7
9563,7
8910,7
9126,7
9161,7
8588,7
9106,7
8759,7
8649,7
8569,7
9287,7
9212,7
8979,7
8483,7
8174,7
8218,7
7672,7
7330,7
7647,7
7462,7
7173,7
7719,7
7442,7
7760,7
7638,7
7538,7
8130,7
7733,7
7314,7
7745,7
7239,7
7943,7
7704,7
6632,7
6321,7
6727,7
7031,7
5866,7
6847,7
5840,7
6971,7
6757,7
6263,7
6427,7
6603,7
6223,7
6338,7
6574,7
6585,7
5779,7
5639,7
4642,7
4746,7
5663,7
4844,7
5596,7
4884,7
5633,7
4894,7
5659,7
4904,7
5724,7
5495,7
5794,7
5563,7
5816,7
4367,7
4209,7
3519,7
4384,7
4338,7
3723,7
3544,7
3981,7
4153,7
4006,7
4253,7
4036,7
4355,7
4062,7
4372,7
3858,7
4128,7
2965,7
3022,7
2971,7
2779,7
3470,7
2686,7
3313,7
2631,7
2755,7
2641,7
3456,7
3464,7
2646,7
2170,7
2429,7
2408,7
2506,7
2269,7
2025,7
1858,7
1765,7
2007,7
2360,7
2434,7
1928,7
2164,7
2216,7
2398,7
1805,7
879,7
1715,7
1663,7
997,7
1438,7
1061,7
1618,7
1182,7
1048,7
1191,7
1049,7
1213,7
821,7
1231,7
1570,7
1675,7
1127,7
793,7
1665,7
1290,7
1722,7
739,7
507,7
6,7
320,7
100,7
627,7
742,7
453,7
305,7
13,7
548,7
12571,6
13642,6
12995,6
12577,6
13826,6
13337,6
14124,6
13432,6
13495,6
13590,6
11344,6
12178,6
12170,6
11840,6
11814,6
12060,6
11898,6
11671,6
11901,6
11873,6
12411,6
12334,6
11588,6
12106,6
11893,6
11914,6
11906,6
10671,6
10430,6
10962,6
10826,6
10034,6
10071,6
10499,6
10163,6
9729,6
9703,6
10797,6
10670,6
11105,6
11262,6
10490,6
9455,6
8711,6
8479,6
8770,6
8508,6
8630,6
9057,6
8294,6
8308,6
8818,6
9410,6
9148,6
9007,6
9149,6
9573,6
8584,6
9086,6
8893,6
9664,6
9685,6
8530,6
8145,6
7725,6
7426,6
7979,6
7393,6
7981,6
7746,6
7790,6
7361,6
7794,6
7089,6
7397,6
7497,6
7433,6
7204,6
7301,6
8217,6
7234,6
7765,6
8096,6
7593,6
6623,6
6549,6
6340,6
6084,6
6697,6
6593,6
4877,6
4773,6
4458,6
5083,6
5664,6
5113,6
5062,6
5165,6
4791,6
5233,6
4901,6
5364,6
5802,6
5808,6
5601,6
4068,6
3902,6
3558,6
3970,6
4221,6
4083,6
4296,6
4103,6
3913,6
4137,6
4026,6
2773,6
2734,6
2843,6
2819,6
2570,6
2656,6
3315,6
2673,6
2639,6
2859,6
3414,6
3304,6
3214,6
3062,6
3142,6
2737,6
2533,6
3070,6
1846,6
1948,6
2404,6
1832,6
2267,6
2518,6
2191,6
2029,6
1912,6
2175,6
2137,6
2132,6
1817,6
1783,6
2278,6
1111,6
1573,6
1712,6
788,6
1602,6
814,6
1184,6
1015,6
791,6
1727,6
1601,6
1450,6
1183,6
1462,6
982,6
1482,6
1278,6
940,6
1062,6
1513,6
957,6
339,6
692,6
680,6
628,6
612,6
359,6
678,6
393,6
681,6
145,6
756,6
15,6
252,6
49,6
515,6
60,6
747,6
14048,5
13832,5
14261,5
12796,5
13980,5
13559,5
13272,5
12544,5
12504,5
14294,5
13929,5
14339,5
14043,5
13597,5
12733,5
14483,5
12735,5
13735,5
12655,5
13813,5
14423,5
13595,5
12865,5
11584,5
11996,5
12413,5
11688,5
11451,5
11727,5
11656,5
11461,5
11983,5
11462,5
12038,5
11768,5
11574,5
11798,5
11601,5
11520,5
12398,5
11922,5
12453,5
11950,5
12044,5
10019,5
9922,5
10960,5
9811,5
10622,5
10472,5
10401,5
10860,5
10606,5
10902,5
10329,5
10140,5
11114,5
10930,5
11189,5
9688,5
10070,5
10959,5
9976,5
8431,5
8812,5
8406,5
8924,5
8691,5
9163,5
9228,5
9092,5
8447,5
8847,5
9127,5
9423,5
8666,5
9184,5
8556,5
9431,5
8615,5
9187,5
9104,5
9028,5
8628,5
9454,5
8269,5
8502,5
9652,5
9456,5
9666,5
8555,5
9040,5
9046,5
8953,5
7754,5
7901,5
7484,5
7254,5
7344,5
7411,5
7519,5
8074,5
7406,5
7845,5
8127,5
7499,5
8134,5
7365,5
7627,5
7215,5
7782,5
7889,5
8212,5
7597,5
7488,5
7895,5
7584,5
6582,5
5920,5
6297,5
6348,5
6886,5
6393,5
6734,5
6196,5
5977,5
6605,5
6325,5
6091,5
6042,5
6615,5
5888,5
6376,5
6738,5
6157,5
6431,5
6496,5
6389,5
6651,5
6862,5
6070,5
6560,5
6665,5
6901,5
6675,5
6443,5
6683,5
6067,5
6515,5
5856,5
6598,5
4971,5
5690,5
4564,5
5805,5
4915,5
4493,5
5795,5
5526,5
5678,5
4644,5
5716,5
5550,5
5778,5
5553,5
5046,5
4847,5
5567,5
4910,5
4495,5
4620,5
3628,5
4065,5
3952,5
3566,5
3966,5
3900,5
3911,5
3825,5
4359,5
3515,5
3978,5
4086,5
3710,5
3772,5
4344,5
4263,5
4133,5
4274,5
3915,5
4276,5
3795,5
3689,5
3851,5
4313,5
4315,5
3955,5
3384,5
3030,5
2704,5
3225,5
2594,5
3033,5
2611,5
2708,5
2698,5
3269,5
3351,5
2862,5
2813,5
2878,5
3168,5
2941,5
3172,5
2953,5
3013,5
2753,5
3216,5
2560,5
3334,5
3100,5
2185,5
2511,5
2500,5
1958,5
1753,5
1806,5
1776,5
1919,5
2368,5
2324,5
1920,5
2339,5
1969,5
2347,5
1898,5
2353,5
1950,5
2359,5
2363,5
2512,5
999,5
1013,5
1662,5
1162,5
1556,5
815,5
1027,5
1192,5
1447,5
1466,5
1535,5
1057,5
888,5
1419,5
1005,5
1143,5
1719,5
1144,5
1147,5
1169,5
84,5
732,5
754,5
605,5
386,5
211,5
8,5
416,5
724,5
616,5
643,5
425,5
20,5
445,5
571,5
76,5
581,5
589,5
13979,4
12592,4
13487,4
13553,4
13901,4
13591,4
13993,4
13287,4
14326,4
13147,4
14432,4
13078,4
12943,4
12876,4
12684,4
12884,4
13244,4
13704,4
13009,4
13745,4
13085,4
13870,4
11664,4
12323,4
12301,4
11715,4
12385,4
11786,4
12239,4
11819,4
12312,4
11820,4
12358,4
11825,4
11661,4
11861,4
12190,4
11874,4
12285,4
11546,4
12307,4
11724,4
11429,4
11999,4
12332,4
12014,4
11709,4
12016,4
12388,4
12025,4
11757,4
12037,4
12429,4
11575,4
11576,4
10016,4
10861,4
10507,4
10572,4
9741,4
10751,4
9782,4
9982,4
10700,4
9988,4
10334,4
10485,4
10505,4
10610,4
10132,4
11038,4
10678,4
9917,4
9967,4
10465,4
10453,4
10791,4
10869,4
9860,4
10494,4
9278,4
8480,4
8327,4
8705,4
9009,4
8402,4
9383,4
9072,4
8350,4
9084,4
8657,4
9099,4
9248,4
9103,4
9320,4
8748,4
9394,4
9153,4
8907,4
8778,4
8919,4
8576,4
9687,4
9195,4
9635,4
8430,4
8322,4
9034,4
7269,4
7508,4
7961,4
7357,4
7572,4
7639,4
7211,4
7645,4
7987,4
7228,4
8089,4
7673,4
8156,4
7240,4
7869,4
7244,4
7492,4
7401,4
7496,4
7701,4
8024,4
7175,4
7299,4
7735,4
8114,4
7752,4
8150,4
7446,4
7808,4
7595,4
6392,4
6275,4
5930,4
6514,4
6923,4
6483,4
6330,4
5850,4
6506,4
6802,4
6252,4
5984,4
6947,4
6182,4
6293,4
6458,4
5906,4
6358,4
6406,4
6270,4
6536,4
6513,4
4396,4
5746,4
5698,4
4445,4
4886,4
4439,4
4998,4
4509,4
5462,4
4771,4
4473,4
5271,4
5789,4
5277,4
4918,4
4601,4
4799,4
4734,4
5447,4
5641,4
4679,4
5653,4
5763,4
4660,4
4474,4
5339,4
5786,4
5355,4
4888,4
4972,4
5126,4
4469,4
5568,4
5672,4
5405,4
5330,4
3856,4
3615,4
4073,4
3658,4
3563,4
3665,4
3611,4
3677,4
4097,4
3543,4
4140,4
3539,4
3814,4
3581,4
4382,4
3967,4
3766,4
3596,4
3530,4
4003,4
4099,4
3746,4
3779,4
4034,4
4237,4
3748,4
3800,4
4051,4
3826,4
4053,4
4370,4
4059,4
4064,4
2894,4
3443,4
2745,4
2567,4
3227,4
2811,4
2742,4
3112,4
2685,4
3116,4
2605,4
3120,4
3487,4
2729,4
3290,4
3126,4
2962,4
2833,4
3366,4
2838,4
3428,4
2692,4
2997,4
2860,4
2699,4
2581,4
2346,4
1734,4
1843,4
2329,4
2280,4
1826,4
2078,4
2083,4
2473,4
2377,4
2496,4
2388,4
2425,4
2300,4
